id;text;label
1,91E+18; vai. Omer teu traveco e a janja meu;1
1,91E+18;""" amiga "" basicamente foi um traveco ou seja outro homem bateu nele kkkkkkkkk";1
1,91E+18;"""a mulher travesti"" como pode uma pessoa trans ter a proeza de SER TRANSFOBICA porra voces se perdem demais namoral o unico desservico pra comunidade sao pessoas como VOCE que so demonstra respeito pelo que te convem";0
1,91E+18;, o que o referido vereador esta mostrando com as maos na imagem, a bitola do traveco?;1
1,91E+18;A segunda parte quando elu fala que travesti e homem cis tb pode amamentar eu ja tava na linha com o caps;0
1,91E+18;A suruba da janja foi boa. Deu pra um traveco e pra um homem q dar pra traveco.;1
1,91E+18;Ate parece que vou deixar de ver a Urias e a Katy da voz para ver um bando de viado feio ;0
1,91E+18;Ate se for no comeco a mulher pega a pior dor pra julgar vc dps ou jogar na cara kkkkk. Homem ter depressao? Homem ser assedio? Homem sofrendo agressao fisica e psicologica? N existe para as mulheres;0
1,91E+18;Boa tarde...pra fazer sucesso, o pau tem comermulher com mulher, travesti, dois homens em uma mulhero cara sai no lucro, nos meros mortais, teriamos que pagar, os caras pegam e ai se pah ainda no pelo;0
1,91E+18;Concordo se fosse aplicado ao homem tambem, foi pego com puta ou travesti e tem namorada ou esposa ou uniao estavel , paulada nele ! Foi pego vendo porno e tem compromisso , paulada nele ! So adotarmos a Sharia islamica, resolvidos os problemas , cara vc e um genio ! Pq ninguem;1
1,91E+18;Concordo se fosse aplicado ao homem tambem, foi pego com puta ou travesti e tem namorada ou esposa ou uniao estavel , paulada nele ! Foi pego vendo porno e tem compromisso , paulada nele ! So adotarmos a Sharia islamica, resolvidos os problemas , cara vc e um genio ! Pq ninguem;1
1,91E+18;Dai no fim a crianca perdeu de assistir uma peca direcionada ao publico INFANTIL pq o traveco tonhao ficou aloprando na fila da pipoca em vez de pegar a pipoca e ir sentar de uma vez N consigo achar certo um homem q tirou o pau constranger a mae e uma crianca a sairem;1
1,91E+18;E drag queen e quem faz perfomance, se veste de mulher, mas por arte e nao se identifica como mulher trans;0
1,91E+18;E o pessoal desses videos tbm, o cara e polaco nem e da cultura dele, ele se vestiu assim pra fazer graca com a mulher, quem se veste normalmente assim e os filhos do imigrantes que ja tem mais de 70 ate, ai eles usam no dia dia, mas nem sempre, quando vao trabalhar mudam a roupa;0
1,91E+18;E um homem vestido de mulher, porra. Larga de frescura Nao existe mulher trans. Existe traveco.;1
1,91E+18;E voce nao consegue namorar ninguem, porque ninguem quer sair com uma semi-travesti. Vista-se como homem, malhe para criar corpo de homem, e voce vai sair da solidao. Continue assim, e nunca tera um relacionamento.;1
1,91E+18;Eita traveco bonito, vc e o homem da minha vida.;1
1,91E+18;Ele tava comendo um traveco, traindo ela, e ela ia expor, e ele ficou puto, nada justifica bater em mulher desse jeito, mas tocou na masculinidade fragil dele, ai ja foi demais;1
1,91E+18;Essa bosta e homem ou e traveco? Num da pra diferenciar nao. Certeza que e maconheiro (a);1
1,91E+18;Essa e a coisa mais imbecil que eu ja li em toda a minha vida. Jing e meu ovo seu viado, vai comer uma buceta e para se ser boiola desse jeito a internet. Puta que pariu menor ta pra nascer um nego mais homossexual que voce nesse mundo.;1
1,91E+18;"Esse ""mulher-trans"" me trinca.... E Travesti.... Traveeeestiiiii..... Um Homem Fantasiado de Mulher.. E Nesse Caso... Que Bicha Feio dos Infernos... Se e que e bicha... Vai saber se nao e um Estuprador.";1
1,91E+18;"Esse ""mulher-trans"" me trinca.... E Travesti.... Traveeeestiiiii..... Um Homem Fantasiado de Mulher.. E Nesse Caso... Que Bicha Feio dos Infernos... Se e que e bicha... Vai saber se nao e um Estuprador.";1
1,91E+18;Esse fudido desse viado ja acabou com meu dia;0
1,91E+18;Esse ser e homem ou mulher?;1
1,91E+18;Esse velho deve ser de familia tradicional, ter fetiche com travesti e a mulher descobriu. So assim pra aguentar sem virar reu na Maria da Penha.;1
1,91E+18;Eu acredito em mulher trans, mas so considero quando corta o pau porque ai sim ela realmente quer isso Fora isso, e so um travesti.;1
1,91E+18;Eu ouvi direito: vai pagar traveco pago?;1
1,91E+18;Gloria Groove e uma drag queen, nao uma travesti. Daniel Garcia, seu nome real, usa a persona como expressao artistica, nao como identidade de genero. Ele se identifica como homem fora do palco, diferente de travestis, que often vivem como mulheres no contexto brasileiro.;0
1,91E+18;Gloria Groove e uma drag queen, nao uma travesti. Daniel Garcia, seu nome real, usa a persona como expressao artistica, nao como identidade de genero. Ele se identifica como homem fora do palco, diferente de travestis, que often vivem como mulheres no contexto brasileiro.;0
1,91E+18;"Gloria Groove nao e travesti, mas sim drag queen. Seu nome real e Daniel Garcia, um homem gay que se apresenta como Gloria Groove, uma persona artistica, nao uma identidade de genero. No Brasil, ""travesti"" geralmente se refere a mulheres trans, enquanto ""drag queen"" e expressao";0
1,91E+18;Gostaria de saber se o juiz, que deu causa ganha ao traveco, deixaria sua filha ou neta entrar no mesmo banheiro que esse homem entra.;1
1,91E+18;Homem e homem e mulher e mulher nao e verdade se eles querem competir brigue por uma modalidade que so cabe eles homossexual travesti seja la o que for LGBT;1
1,91E+18;Isso ai e uma mulher ou um tremendo traveco?;1
1,91E+18;Isso e travesti, homem vestido de mulher HOMEM;1
1,91E+18;Kkkkkkkkkkk, qual a doenca do traveco?;1
1,91E+18;Mas sabemos que o homem se atrai pela porta, que e a mulher. Entao e literalmente 0% chances Alem de que ja sou celibatario, por mais que esse traveco nao tenha a maldade de uma mulher, ainda assim e um extremo prejuizo. Prefiro ficar com uma gorda da bct preta do q pegar o tra;1
1,91E+18;Nao deixe o Nando Moura ver. Ele vai la querer tracar o traveco. ;1
1,91E+18;Nao grok termo certo e traveco e trata-se de um homem;1
1,91E+18;"Nao usei a palavra ""genero"", porque abomino o contexto da criacao da mesma, alem de achar apenas uma brecha para nomeacao dessas doencas mentais. Mas ai, cortar a pica e fazer uma buceta-ferida-aberta nao e definir sexo? Se eu chamar um traveco de homem bio, ELE vai aceitar?";1
1,91E+18;Nasceram com utero, estrutura feminina, carga hormonal e tudo mais. Logo sao mulheres. Homem com peruca nao e mulher. Pode sentir-se o que quiser, mas nunca sera uma mulher. No maximo um traveco.;1
1,91E+18;Nasceram com utero, estrutura feminina, carga hormonal e tudo mais. Logo sao mulheres. Homem com peruca nao e mulher. Pode sentir-se o que quiser, mas nunca sera uma mulher. No maximo um traveco.;1
1,91E+18;Nem, nunca foi sobre isso, rlx. O problema e que esse maluco e uma dor de cabeca, ele e transmisogino para caralho, tanto que foi atras de atacar uma travesti para defender um homem cishet que tava usando NBs como escudo apos ele fazer apologia a estupro.;0
1,91E+18;O cara me chamou de TRAVECO e vem me dar mole, nmrl n entendo homem;1
1,91E+18;POR acaso a Gloria Groove e um homem gay, nao uma travesti. 2025 galera, bora correr pra deixar de ser burro q essas informacoes estao praticamente em todo programa de tv. Ja teve novela, BBB, reportagem do fantastico, JN, e o escambau falando a diferenca.;0
1,91E+18;Pessoa infiel, grotesca, espanca mulher, confunde esposa c um travesti.....falta amor respeito elogios cumplicidade!!!;1
1,91E+18;Pq se fosse uma travesti falando sobre como nao pode se assumir pq sua familia nao a aceita, ou um homem trans cujo nao possa transicionar pq exerce algum cargo profissional que exija exposicao nao teria esse papo. Pessoas tem diferentes vivencias porra.;0
1,91E+18;Pq se fosse uma travesti falando sobre como nao pode se assumir pq sua familia nao a aceita, ou um homem trans cujo nao possa transicionar pq exerce algum cargo profissional que exija exposicao nao teria esse papo. Pessoas tem diferentes vivencias porra.;0
1,91E+18;Pq todos mulher adulta crente se veste igual crianca e de forma infantilizada??;0
1,91E+18;Pra ir nessa bosta de show que so tem traveco e viado tem que ser muito burro mesmo.;1
1,91E+18;Qnd a justica por no x video travesti e trans fazendo sexo com mulheres eles vao repensar sobre isso, nasceu homem sempre sera homem instinto vontades;1
1,91E+18;Qnd a justica por no x video travesti e trans fazendo sexo com mulheres eles vao repensar sobre isso, nasceu homem sempre sera homem instinto vontades;1
1,91E+18;Que mane terceiro banheiro! Imagina vc ter que gastar dinheiro pra alterar a estrutura do seu estabelecimento, mexer com crea e os caraio por causa de um doente mental que se veste de mulher;1
1,91E+18;RT : 1- que mulher diria a outra pra ir por um tunel escuro sozinha? 2- que mulher iria? 3- DEZ MINUTOS????? 4- Como esse ho...;0
1,91E+18;RT : Bem eu vou tratar um homem trans como um homem se ele tiver usando um vestido um cropped e uma saia Vou tratar mulher trans...;0
